연도,계약명,수행용역
2008,은평뉴타운 2지,건축물 에너지효율등급
2008,은평뉴타운 2지,친환경건축물 인증
2008,명지동APT 중,소음실측
2008,명지동APT 중,"일조, 조망"
2008,명지동APT 중,친환경건축물 인증
2008,광교신도 파워,기술제안
2008,종암6 역,친환경건축물 인증
2008,고양 행신지 D3-연립,친환경건축물 인증
2008,용산 파크,건축물 에너지효율등급
2008,전주 첨단 센트럴 카운티 공동,CFD
2008,청주 강서지,소음실측
2008,인천 청라지 A8-,소음예측
2008,인천 청라지 A8-,"일조, 조망"
2008,인천 청라지 A8-,친환경건축물 인증
2008,인천 청라지 A8-,건축물 에너지효율등급
2008,인천 청라지 A8-블록,주택 성능등급인정
2008,영등포 부도심권 특별,친환경건축물 인증
2008,정관 1,소음실측
2008,정관 1,"일조, 조망"
2008,정관 1,친환경건축물 인증
2008,00지역 00부대 설,기술제안
2008,송도4공 3,건축물 에너지효율등급
2008,송도4공 3,친환경건축물 인증
2008,한국 폴리텍 대학 기숙사 공학관 민자,기술제안
2008,화성 복합복지타운,기술제안
2008,문산읍 당동리 480 일원 공동,주택 성능등급인정
2008,김해 율하지구,친환경건축물 인증
2008,고속국도 냉정 부산,기술제안
2008,리베라 아이누리 주상복합,CFD
2008,을지로2가 저동 역 제1지구 도시환경정비,친환경건축물 인증
2008,통영 신전중 외 5교 민자투자 설,기술제안
2008,남해고속도로 제551호선 냉정 부산,기술제안
2008,신영 미소랑 임대,CFD
2008,고속도로 제12호선 88올림픽고속도로(담...,기술제안
2008,인천 청라지 A28-공동,"일조, 조망"
2008,인천 청라지 A28-공동,친환경건축물 인증
2008,인천 청라지 A-36BL공동,친환경건축물 인증
2008,인천 청라지 A-36BL공동,건축물 에너지효율등급
2008,인천 청라지 A-36BL공동,주택 성능등급인정
2008,이중외피 스템 소비저감 성능,"에너지 시뮬레이션, 기계설비 성능점검"
2008,인천 청라지 9 BBL공동,주택 성능등급인정
2008,원주무실3지 B-2블럭,건축물 에너지효율등급
2008,원주무실3지 B-2블럭,친환경건축물 인증
2008,원주무실3지 B-2블럭,주택 성능등급인정
2008,행정중심복합도 정부청사 1단계 1구역,기술제안
2008,냉정 부산,기술제안
2008,인천 청라지 A7-공동,주택 성능등급인정
2008,대전 학하지 4 B,주택 성능등급인정
2008,합정동 2 역 주상복합,건축물 에너지효율등급
2008,합정동 2 역 주상복합,친환경건축물 인증
2008,합정동 3 역 주상복합,건축물 에너지효율등급
2008,합정동 3 역 주상복합,친환경건축물 인증
2008,성남판교 A2-2,소음실측
2008,성남판교 A2-2,"일조, 조망"
2008,성남판교 A2-2,친환경건축물 인증
2008,오산 효성,친환경건축물 인증
2008,보문제4 역,소음예측
2008,보문제4 역,소음실측
2008,보문제4 역,"일조, 조망"
2008,보문제4 역,친환경건축물 인증
2008,대전학하지 4 B,소음예측
2008,대전학하지 4 B,"일조, 조망"
2008,대전학하지 4 B,건축물 에너지효율등급
2008,대전학하지 4 B,친환경건축물 인증
2008,부산정관 A-7블럭,친환경건축물 인증
2008,대야초둥,친환경건축물 인증
2018,강원외고건축물,친환경건축물 인증
2018,고속국도 제12호선 담양 성산,기술제안
2008,07안양덕천,기술제안
2008,복수동1 역,친환경건축물 인증
2008,인천 청라지 A28-공동,건축물 에너지효율등급
2008,인천 청라지 A28-공동,주택 성능등급인정
2009,은평뉴타운 3지 B공구,친환경건축물 인증
2009,화성 동탄2신도 공동,기술제안
2009,하남 풍산중,친환경건축물 인증
2009,KINTEX 제2전 장,기술제안
2009,KINTEX 제2전 장,지능형건축물 예비인증
2009,당진1지 도시개발 내 공동,소음예측
